ID,Descripcion,Latitud,Longitud,Poblacion500m
Punto 1,Esq. Benavides con Nicolas Dueñas,-12.04861,-77.06496,16500
Ponto 2,Sta Bernardita con Republica de Venezuela,-12.05956,-77.07583,18000
Ponto 3,Santa Susana con Santa Gertrudis,-12.06524,-77.07334,17000
Ponto 4,Belizario Sosa Pelaez,-12.05998,-77.063,15000
Ponto 5,Esq. Aurelio Garcia y Miranono Arredondo,-12.05541,-77.07497,17100
Ponto 6,Aurelio Garcia Garcia,-12.05417,-77.07472,17350
Punto 7,"Jr. Francisco Masías 2393, Lima 15081",-12.05349,-77.07362,17300
Punto 8,"Aurelio García y García 1287, Cercado de Lima 15081",-12.05268,-77.07409,17400
Punto 9,"Jirón Víctor Sarria 1288, Cercado de Lima 15081",-12.05278,-77.07104,17350
Punto 10,"Aristides del Carpio Muñoz 1396, Cercado de Lima 15081",-12.05301,-77.07735,17400
Punto 11,"Av. Oscar R. Benavides, Cercado de Lima 07006",-12.04937,-77.07948,16900
Punto 12,"Reynaldo Saavedra Pinón 2599, Cercado de Lima 15081",-12.05465,-77.06952,17200
Punto 13,"Mariano Arredondo 2595, Cercado de Lima 15081",-12.05486,-77.07655,17300
Punto 14,"Jr. Aristides del Carpio y Muñoz 1156 Urb, Cercado de Lima 15081",-12.05059,-77.07666,17500
Punto 15,Esquina Chocano-Independencia,-12.04253,-77.09595,18500
Punto 16,"Av. Oscar R. Benavides Nro. 1291, Cercado de Lima 15082",-12.04817,-77.05867,17100
Punto 17,"Leonardo Arrieta 2501, Cercado de Lima 15081",-12.04668,-77.0726,16400
Punto 18,"Av. República de Venezuela 2602, Cercado de Lima 15081",-12.05606,-77.06726,15950
Punto 19,"Jr. Valle Riestra, 609 Pueblo Libre, Lima 15084",-12.07258,-77.06884,16800
Punto 20,"Av Antonio José de Sucre 226, Pueblo Libre 15084",-12.07414,-77.0629,16950
Punto 21,"Av. Mariano H. Cornejo 1125, Pueblo Libre 15084",-12.06771,-77.06214,14500
Punto 22,"Av Paso de Los Andes 1052, Pueblo Libre 15084",-12.06921,-77.0593,16400
Punto 23,"Av. Gral. Eugenio Garzón 1337, Jesús María 15072",-12.07396,-77.051,17300
Punto 24,"Av Cuba 1120, Jesús María 15072",-12.075,-77.04631,17000
Punto 25,"Comandante Jimenez 487, Magdalena del Mar 15073",-12.09086,-77.05947,14900
Punto 26,"Av Brasil, Magdalena del Mar 15086",-12.09375,-77.06947,13900
Punto 27,"Comandante Espinar, Magdalena del Mar 15086",-12.09602,-77.07398,11500
Punto 28,"Av. Alfonso Ugarte 296, Lima 15487",-12.02669,-76.88958,2900
Punto 29,"Jr. Bolognesi 156, Santa Clara, Ate 15487",-12.0282,-76.8912,2500
Punto 30,"Carr. Central, Santa Anita 15494",-12.03267,-76.91418,2000
Punto 31,Los Eucaliptos Lima 15494,-12.03828,-76.9157,3800
Punto 32,"Asc. Los Pinos Mz A Lt 18, Av, Marcos Puente Llanos, Ate 15011",-12.03982,-76.91897,8500
Punto 33,"Maria Parado De Bellido, Ate 15494",-12.04117,-76.9186,7500
Punto 34,Huamanga Ate 15494,-12.0417,-76.9221,6000
Punto 35,Los Libertadores Ate 15494,-12.04155,-76.9213,6000
Punto 36,Auxiliar prolongacion Javier Prado Lima 15494,-12.03882,-76.9238,8600
Punto 37,Javier Prado Ate Vitarte 15494,-12.03959,-76.92422,8500
Punto 38,"prolon. mz.M lote 32 atte a 3 cuadras del puente medio de Ceres avenida las cascadas javier prado Ate, Cercado de Lima 15494",-12.03548,-76.92502,9200
Punto 39,Las Dalias Ate 15494,-12.03766,-76.92863,9900
Punto 40,"Calle Berlin & Florida, Ate 15494",-12.03984,-76.92827,9900
Punto 41,"Lisboa 252, Distrito de Lima 15494",-12.04233,-76.92739,9200
Punto 42,"Prolongacion Javier Prado, Ate 15494",-12.04328,-76.92851,8700
Punto 43,"Unnamed Road, Cercado de Lima 15494",-12.04486,-76.92715,7900
Punto 44,"Monteverde 16, Lima 15494",-12.04566,-76.91841,4000
Punto 45,"Husares de Junin 1055, Distrito de Lima 15494",-12.03895,-76.92025,8600
Punto 46,"Av Jose Larco 1140, Miraflores 15074",-12.12916,-77.02984,16000
Punto 47,"Av. Reducto 1278, Miraflores LIMA 18",-12.13156,-77.02371,15800
Punto 48,"Av. Reducto 1350, Miraflores 15074",-12.13222,-77.02358,15600
Punto 49,"Av. la Paz 838, Miraflores 15086",-12.1265,-77.02697,18400
Punto 50,"Calle San Martin 537, Miraflores 15074",-12.1261,-77.02889,18800
Punto 51,"Av 28 de Julio 331, Miraflores 15074",-12.12603,-77.03129,18300
Punto 52,"Bolognesi 759, Miraflores 15074",-12.12587,-77.03583,14500
Punto 53,"Revett 259, Miraflores 15074",-12.12248,-77.03332,17900
Punto 54,"Bolognesi 498, Miraflores 15074",-12.12326,-77.03639,16950
Punto 55,"Calle Berlin 899, Miraflores 15074",-12.12028,-77.03866,17600
Punto 56,"Calle Berlin 468, Miraflores 15074",-12.1201,-77.0343,19000
Punto 57,"Calle San Martin 300, Miraflores 15074",-12.12532,-77.03135,18600
Punto 58,"Av Jose Larco 389, Miraflores 15074",-12.12116,-77.02889,18000
Punto 59,"Calle de las Pizzas 104, Miraflores 15074",-12.12159,-77.03092,18500
Punto 60,"Calle Enrique Palacios 140, Miraflores 15074 ",-12.11685,-77.02991,20000
