cruzamiento,seleccion,mut,pmut,mean_fitness,mean_dist,mean_pob,gen_convergencia
custom_uniform,roulette,inversion,0.25,685820.9170039834,556977.2380462907,128700.0,50.7
custom_uniform,roulette,insercion,0.75,685820.9170039834,557092.20544498,128698.01324503311,51.7
custom_uniform,roulette,swap,1.0,685820.9170039834,557093.9887716263,128698.13664596273,52.0
custom_uniform,roulette,perturbacion,0.5,685820.9170039834,557073.2747467359,128696.7032967033,54.3
custom_uniform,roulette,swap,0.75,685820.9170039834,557081.8589372309,128697.2972972973,54.4
custom_uniform,roulette,inversion,0.75,685820.9170039834,557087.8220008573,128697.70992366412,60.3
custom_uniform,roulette,insercion,0.5,685820.9170039834,557077.9918019089,128697.02970297029,67.5
custom_uniform,roulette,swap,0.5,685820.9170039834,557049.8441284174,128695.08196721312,67.6
custom_uniform,roulette,perturbacion,0.75,685820.9170039834,557090.1691641996,128697.87234042553,68.8
custom_uniform,roulette,inversion,0.5,685820.9170039834,557067.3929865819,128696.29629629629,70.6
custom_uniform,roulette,multiswap,0.5,685820.9170039834,557059.8543925815,128695.77464788733,84.8
custom_uniform,roulette,multiswap,0.75,685820.9170039834,557085.0868766322,128697.52066115703,93.6
custom_uniform,roulette,perturbacion,1.0,685820.9170039834,557098.4253216978,128697.9057591623,115.5
custom_uniform,roulette,perturbacion,0.25,685820.9170039834,557012.2816945085,128700.0,122.3
custom_uniform,roulette,swap,0.25,685820.9170039834,556743.5731684009,128672.72727272728,122.7
custom_uniform,roulette,multiswap,1.0,685820.9170039834,557095.5635220564,128698.24561403508,152.7
custom_uniform,roulette,multiswap,0.25,685820.5904542769,556908.8194950086,128700.0,124.4
custom_uniform,roulette,insercion,1.0,685814.8704132817,557099.7409978961,128697.51243781095,68.9
custom_uniform,roulette,inversion,1.0,685814.8704132817,557097.1826873175,128697.79005524862,110.5
custom_uniform,roulette,insercion,0.25,685802.7772318784,557035.9082704633,128694.11764705883,143.5
